id,address,categories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Take Out Restaurants,Sandwich Shops,Family Style Restaurants,Pasta,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,7.0,7,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza,Cheese Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Take Out Restaurants,Sandwich Shops,Family Style Restaurants,Pasta,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,8.0,8,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza,One Item Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Take Out Restaurants,Sandwich Shops,Family Style Restaurants,Pasta,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,11.5,11.5,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza stuffed with your topping choice,Stuffed Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Take Out Restaurants,Sandwich Shops,Family Style Restaurants,Pasta,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,10.5,10.5,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza,Three Item Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Pizza Place,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,9.0,9,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza,Two Item Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,11.0,11,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z","Blend of grilled vegetables, oregano, Roma tomato, zucchini, pepper, asparagus, and onions",Bbq Vegetarian Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,13.0,13,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z","Cajun shrimp with tomato sauce, parmesan cheese and fresh oregano",Caribbean Cajun Shrimp Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,11.0,11,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z","Grilled marinated breast of chicken, covered with fresh mozzarella",Chicken Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,9.0,9,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z",Special homemade sauce finished with freshly sliced tomatoes and basil,Fresh Tomato and Basil Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,13.0,13,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z","Wild and domesticated mushroom added to a blend of fresh mozzarella, oregano, red onion, and Caribbean spices",Mushroom Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
